question,A,B,C,D,correct_answer
The field of specialization of famous Muslim scientist Abu Usman Aljahiz was?,A. Botany,B. Zoology,C. Astronomy,D. None,B
Albatros is__________?,A. A sea bird,B. A beetle,C. A fruit,D. None,A
Who proposed this concept “All motion is relative”?,A. Albert Einstein,B. John Kepler,C. Galileo Galilie,D. None,A
Coulomb is the scientific unit to measure?,A. Velocity,B. Temperature,C. Mass,D. None OF These,D
An instrument to detect the purity of milk is____________?,A.	Lactometer,B.	Hygrometer,C.	Manometer,D.	Sonometer,A
The theory of Expanding Universe was first propounded by____________?,A.	Einstein,B.	Newton,C.	Gahleo,D.	Hubble,D
Water has maximum density at____________?,A.	0°C,B.	4°C,C.	4° K,D.	4.8°C,B
For being able to see three-dimensional pictures we have to use_________?,A. A binocular,B. A camera,C. An epidiascope,D. A stereoscope,D
A satellite moving round the earth with a uniform speed has____________?,A. An accelerated motion,B. No acceleration at all,C. Uniform acceleration,D. Uneven acceleration,C
Materials for rain-proof coats and tents owe their water proof properties to________?,A.	Surface tension,B.	Viscosity,C.	Specific gravity,D.	Elasticity,A
The absorption of ink by blotting paper involves__________?,A.	Viscosity of ink,B.	Capillary action phenomenon,C.	Diffusion of ink through the blotting,D.	Siphon action,B
Detergents dissolved in water help in cleaning clothes by_________?,A.	Increasing the temperature of water,B.	Reacting chemically with dirt,C.	Reducing the surface tension of water,D.	Dissolving dirt,C
In order to prevent the corrosion of iron pipes they are often coated with a layer of zinc. This process is termed as____________?,A.	Electroplating,B.	Annealing,C.	Galvanization,D.	Vulcanization,C
The cracking sound heard when dry hair is combed with a hard rubber comb is due to_________?,A. The hair barging against the charged comb,B. Small electric sparks,C. The rubbing of the comb with the hair,D. None of the above,B
Scalding with steam is more severe than scalding by boiling water because_______?,A.	Steam can penetrate the skin,B.	Steam is at a higher temperature,C.	Steam contains more energy than boiling water,D.	Steam is at a higher pressure,C
Water is a highly effective coolant for a car engine because _________?,A. Water is good conductor of heat,B. Water has very high specific heat capacity,C. Water boils at a comparatively high temperature,D. Evaporation of water produces lot of cooling,B
A train goes past a railway station at a high speed. A young boy standing on the edge of the platform is likely to __________?,A.	Remain unaffected,B.	Fall away from the train,C.	Fall towards the train,D.	Fall away from or towards the train depending upon the speed,C
Which one of the following sets of color combinations is added in color vision in TV’?,"A.	Red, green and blue","B.	Orange, back and violet",C.	White. red and yellow,"D.	Yellow, green and blue",A
A Fahrenheit thermometer indicates a temperature of ‘ 14°F. its corresponding reading on the Celsius scale will be _________?,A.	– 2O°C,B.	– 10°C,C.	+ 10°C,D.	+ 20°C,B
Lead ball falls through water more slowly than through air because __________?,A.	The value of ‘g’ is less in water,B.	Density of air is less than that of water,C.	Of the viscous force in water,D.	Of The surface tension of water,C
The rear view mirror of a motor vehicle is ________?,A.	Concave,B.	Plane,C.	Convex,D.	Biconcave,C
The primary function of the feathers in birds is to _________?,A.	Provide insulation for preserving body heat,B.	Provide striking surface to the wings for flying,C.	Make the body surface waterproof,D.	impart coloration for species as well as sex recognition,B
What is ‘Stealth Technology‘?,A.	A device which when attached to an aircraft makes it invisible on the radar,B.	A coating which reduces the visibility of an aircraft on radar,C.	A Technology by which it is possible for the aircraft’s to spy in the enemy air-space,D.	A technology by using which paratroopers can be dropped stealthily behind the enemy columns.,B
Bats can also fly in dark because they are capable of taking the help of _________?,A.	Ultraviolet Waves,B.	Ultrasonic Waves,C.	Electromagnetic Waves,D.	Special Retina,B
The Green House Effect is caused by an excess of ?,A.	Carbon dioxide,B.	Carbon monoxide,C.	Carbon tetrachloride,D.	None of the above,A
T.V. transmission cannot cover a very large area because,A.	the strength of T.V. waves is very limited,B.	picture cannot be transmitted clearly after a specific distance,C.	the shape of the earth is spherical,D.	the air is not a good conductor of light and sound/waves,C
The cow’s milk contains how much amount of water in terms of percentage?,A.	60%,B.	65%,C.	72%,D.	80%,D
Most of the ozone in the atmosphere is concentrated in the _____________?,A.	Mesosphere,B.	Troposphere,C.	Stratosphere,D.	ionosphere,C
An iceberg is floating in sea. How much of its mass will remain above the surface of water?,A.	One tenth,B.	One fifth,C.	One fourth,D.	One third,A
"The sun appears red at sunrise and sunset while it appears white at noon, because",A.	Of refraction,B.	It is cooler at sunrise and at sunset,C.	Of diffraction leading to red end of the spectrum reaching the earth.,D.	Of Scattering of light due to dust particles and air molecules.,D
An astronaut inside a spacecraft is in a state of weightlessness. This implies that?,A.	The mass of the astronaut is reduced to zero,B.	Gravity inside the spacecraft ceases to act,C.	The astronaut is outside the influence of the earth’s gravitational force,D.	The astronaut and the spacecraft are both in a free-failing state,D
A lake starts freezing because of the cold atmosphere. It will first freeze,A.	At the bottom,B.	ln the middle pan,C.	At the top surface,D.	Uniformly throughout the water body,C
The beautiful color patterns exhibited by a peacock in its tail feathers are due to ?,A.	Selective absorption of light,B.	Selective re ection of light,C.	Sinterference of light,D.	Natural colour pattern of feathers,A
What is the average adult pulse rate?,A.	140-150,B.	115-125,C.	72-80,D.	60,C
When a person enters a dark room from bright light he is not able to see clearly for a little while because the?,A. Eye is unable to adjust itself immediately,B. Retina becomes insensitive momentarily,C. Iris is unable to dilate the pupil immediately,D. Distance between the lens and retina take time to adjust,C
Which part of the Camera is analogue to the retina in the human eye?,A.	Lens,B.	Film,C.	Aperture,D.	Shutter,B
Dolly is the name of the ?,A.	First cloned sheep,B.	First cloned monkey,C.	First test-tube baby,D.	First human fossil,A
The most important stimulant in tea leaves is?,A.	Brucine,B.	Caffeine,C.	Phenylalanine,D.	Theine,B
Dialysis is used for the treatment of__________?,A. Kidney failure,B. Heart weakness,C. Brain diseases,D. None of these,A
ECG is used for the diagnosis of aliments of ?,A. Brain,B. Heart,C. Kidneys,D. Lungs,B
Short-sightedness can be corrected by using ___________?,A. Convex lens,B. Concave lens,C. Convex-concave lens,D. Concave-convex lens,B
Trachoma is a disease of the___________?,A. Liver,B. Eyes,C. Lungs,D. Kidneys,B
Myopia is a disease connected with_________?,A. Ears,B. Eyes,C. Lungs,D. Brain,B
Leukemia is a disease of the___________?,A. Lungs,B. Blood,C. Skin,D. Nerves,B
Medulla oblongata is a part of human ___________?,A. Heart,B. Brain,C. Liver,D. Sex organ,B
Which of the following diseases is caused by virus?,A. Small pox,B. Tuberculosis,C. Malaria,D. Cholera,A
Malaria is a disease which effects the____________?,A. Heart,B. Lungs,C. Spleen,D. Kidneys,C
A person with which of the following blood groups can receive blood of any group?,A. A,B. AB,C. B,D. O,B
The average heartbeat per minute in a normal man is _________?,A. 50,B. 70,C. 80,D. 100,B
Which of the following vitamins promote healthy functioning of eyes in human beings?,A. Vitamin B,B. Vitamin C,C. Vitamin A,D. Vitamin D,C
Which of the following have maximum calorific value?,A. Carbohydrates,B. Fats,C. Proteins,D. Vitamins,B
Which gland in the human body is called the master gland?,A. Pancreas,B. Thyroid,C. Pituitary,D. Spleen,C
How many bones are there in a newly born infant?,A. 206,B. 230,C. 280,D. 300,D
Which is the largest gland in the human body?,A. Thyroid,B. Liver,C. Pancreas,D. None of these,B
A person of which of the following blood groups is called a universal donor?,A. O,B. AB,C. A,D. B,A
Which of the following glands secrete tears?,A. Lachrymal,B. Pituitary,C. Thyroid,D. Pancreas,A
The function of hemoglobin is____________?,A. Transportation of oxygen,B. Destruction of bacteria,C. Prevention of anemia,D. Utilization of energy,A
The main function of the kidney is ____________?,A. To control blood pressure,B. To control body temperature,C. To remove waste product from the body,D. To help in digestion of food,C
The main constituent of hemoglobin is___________?,A. Chlorine,B. Iron,C. Calcium,D. None of these,B
What is the main component of bones and teeth?,A. Calcium carbonate,B. Calcium phosphate,C. Calcium sulphate,D. Calcium nitrate,B
Tibia is a bone found in the ____________?,A. Skull,B. Arm,C. Leg,D. Face,C
The largest part of the human brain is ___________?,A. Medulla oblongata,B. Cerebellum,C. Cerebrum,D. None of these,C
How many bones are there in an adult human being?,A. 210,B. 260,C. 206,D. 300,C
Red blood corpuscles are formed in the____________?,A. Liver,B. Bone marrow,C. Kidneys,D. Heart,B
Total volume of blood in a normal adult human being is,A. 5-6 liters,B. 3-4 liters,C. 8-10 liters,D. 10-12 liters,A
Which of the following helps in clotting of blood?,A. Vitamin B1,B. Vitamin B2,C. Vitamin D,D. Vitamin K,D
What is the body temperature of a normal man?,A. 81.1 °C,B. 37.0 °C,C. 98.6 °C,D. 21.7 °C,B
Chemical name of vinegar is _____________?,A. Sodium Nitrate,B. Dilute acetic acid,C. Chloride of lime,D. Calcium,B
The instrument which measures very high temperature is____________?,A. Manometer,B. Thermostat,C. Chronometer,D. Pyrometer,D
One of the main function of the earth’s ozone layer is to ?,A. Prevent global warming,B. Filter out ultraviolet rays,C. Absorb pollution,D. All of the above,B
Basic metals can be converted into gold by ?,A. Heating,B. Beating,C. Artificial nuclear radioactivity,D. Chemical reaction,C
The famous book; Al – Qanun was written by the Muslim scientist ?,A. Jabar bin Hayyan,B. Zakariya Al – Razi,C. Abu Ali Sina,D. Abdul Qasim Majreeti,C
Which of the following elements is not present abundantly in earth’s crust ?,A. Silicon,B. Radium,C. Aluminum,D. Carbon,B
Which woody raw material is used for the manufacture of paper pulp?,A. Cotton,B. Poplar,C. Bagasse,D. Rice straw,B
Rectified spirit contains alcohol about ?,A. 80%,B. 95%,C. 70%,D. 85%,B
Radioactive isotope of Uranium used in Nuclear Bomb is ?,A. 92 U 235,B. 92 U 234,C. 92 U 233,D. 92 U 238,A
Human population growth is greatest in developing countries because ?,A. the birth rate is high in developing countries,B. the death rate is high in developing countries.,C. much of the population has already reached the child bearing age.,D. most of the world’s population lives in industrialized countries.,A
Bronze medal is made up of metals ?,"A. copper,nickel","B. copper, tin","C. copper, silver","D. copper, zinc",B
Humming bird belongs to a category called ?,A. Ectotherm,B. Endotherm,C. Exotherm,D. Heterotherm.,B
Addison’s disease is caused by the deficiency of____________?,A. Antiduretic Harmone,B. Luteinising Harmone,C. Melanophore stimulating Harmone,D. Adrenocorticotrophic Harmone,D
Max Planck received the noble prize in Physics in 1918 for his discovery of ?,A. electron,B. energy quanta,C. photon,D. positron,B
"Clocks, which moves with the velocities comparable with the velocity of light, run ?",A. fast,B. slow,C. equal to the velocity of light,D. with zero velocity,B
The three elements needed for healthy growth of plants are __________?,"A. N, P, K","B. N, C, P","C. N, K,","D. N, S, P",A
One of the countries through which equator passes is___________?,A. Kenya,B. Malaysia,C. Malta,D. Pakistan,A
Copper can be converted into gold by ?,A. Artificial radioactivity,B. heating,C. Electroplating,D. Chemical reaction,A
Freezing point of water is__________?,A. 0°C,B. -2°C,C. -4°C,D. None of above,A
Toy age refers to __________?,A. Early childhood,B. Late childhood,C. Baby hood,D. All of Above,A
What is bacteria that helps make yogurt ?,A. Escherichia Coli,B. Staphylococcus aureus,C. Lactobacillus,D. All of these.,C
"Upon completion in 2029, which of the following will become the most powerful telescope in the world?",A. James webb 5.0 telescope,B. Giant Magellan space telescope,C. The Vainu Bappu Telescope,D. Hubble space telescope 2.0,B
What is the name of bacteria that causes Lyme Disease.,A. Escherichia Coli,B. Staphylococus aureus,C. Borrelia burgdorferi,D. None of these,C
What are the components of Balance Diet?,A. Carbohydrates+Fats,B. Proteins+Water,C. Vitamins+Minerals,D. All of these,D
Examples of Monosaccharides are ___________.,A. Glucose,B. Galactose,C. Fructose,D. All of these,D
How many types of nutrients are there?,A. 1,B. 2,C. 3,D. None of These,B
A balanced diet quality formula recommended by World Health Organization is ____________.,A. Carbohydrates 58% + Proteins 12% + Fats 30%,B. Mineral+Proteins+Fats,C. Fats+Proteins+Minerals,D. None of these,A
Chief builder of the body are ___________?,A. Carbohydrates,B. Proteins,C. Fats,D. None of these,B
__________ are called the powerhouses of the cell?,A. Mitochondria,B. Vesicles,C. Lungs,D. Liver,A
"In night, when photosynthesis is stopped, plants__________?",A. take in Carbon Dioxide,B. give off Oxygen,C. give off Carbon Dioxide,D. None of these,C
The device used to convert Alternate Current into Direct Current is called?,A. Anemometer,B. Battery,C. Galvanometer,D. Rectifier,D
"Halley’s Comet is the only known short-period comet that is consistently visible to the naked eye from Earth, appearing every 72–80 years. It last appeared in the inner parts of the Solar System in 1986 and will next appear in mid-_________?",A. 2065,B. 2061,C. 2040,D. None of These,B
The fourth state of matter is?,A. Water,B. Salts,C. Vapours,D. Plasma,D
"About 50% of the Earth’s crust, including the waters on the Earth and atmosphere, is?",A. Oxygen,B. Cabon Dioxide,C. Silicon,D. Clay,A
Acid rain is mainly caused by emissions of __________ in the atmosphere?,A. Sulfur Dioxide and Potassium Nitrate,B. Sulfur and Charcoal,C. Nitrogen Oxide and Potassium Nitrate,D. Sulfur Dioxide and Nitrogen Oxide,D
"In general, wind speed of 10 –13 kph caused_______?",A. minor or no damage,B. considerable damage,C. severe damage,D. extreme damage,A
Water covers __________ of the Earth’s surface?,A. 61%,B. 67%,C. 71%,D. 76%,C
Who is considered the founder of meteorology?,A. Aristotle,B. Plato,C. Einstein,D. Newton,A
Wind energy is the __________ energy.,A. Potential,B. Transverse,C. Kinetic,D. Mechanical,C
The energy value of food is measured in_______?,A. Joule,B. Calories,C. Tesla,D. Proteins,B
The natural fats and oils are composed of_________?,"A. Carbon, Hydrogen and Oxygen","B. Carbon, Hydrogen and Nitrogen","C. Carbon, Oxygen and Nitrogen","D. Hydrogen, Oxygen and Nitrogen",A
The source of oxygen in photosynthesis is,A. water,B. salts,C. minerals,D. glucose,A
The instrument used to measure wind speed is?,A. Anemometer,B. Barometer,C. Hydrometer,D. Hygrometer,A
"The gas, commonly known as “laughing gas”, is",A. Carbon Dioxide,B. Sulfur Dioxide,C. Nitrous Oxide,D. Sodium Oxide,C
The good sources of iodine are_______?,A. green leafy vegetables,B. seeds,C. fresh vegetables and fruits,D. sea foods,D
The good sources of Vitamin-C are________?,A. green leafy vegetables,B. seeds,C. fresh vegetables and fruits,D. sea foods,C
The good sources of Vitamin-B Complex are?,A. green leafy vegetables,B. seeds,C. fresh vegetables and fruits,D. sea foods,B
The good sources of Vitamin-A are?,A. green leafy vegetables,B. seeds,C. fresh vegetables and fruits,D. sea foods,A
The SI unit of Heat is________?,A. Watt,B. Volt,C. Joule,D. Newton,C
Diamond is an allotropic form of_______?,A. Carbon,B. Hydrogen,C. Nitrogen,D. Silicon,A
"The Carbon Dioxide in the atmosphere, by volume, is_______?",A. 0.039%,B. 3.9%,C. 13%,D. 30%,A
Meteorology is the study of?,A. Seasons,B. Atmosphere,C. Air and sounds,D. Winds and clouds,B
"For proper formation of teeth, __________ is essential?",A. iodine,B. copper,C. fluorine,D. iron,C
Deficiency of __________ causes loss of appetite and poor growth?,A. zinc,B. iodine,C. copper,D. iron,A
Carrot is good source of Vitamin _______?,A. Vitamin A,B. Vitamin B,C. Vitamin C,D. Vitamin D,A
Digestion of food is completed in the __________?,A. small intestine,B. large intestine,C. stomach,D. Liver,A
What is Dry Ice?,A. Solid Oxygen,B. Solid Carbon Dioxide,C. Solid Hydrogen,D. Solid Nitrogen,B
The SI unit of electric current is?,A. Coloumb,B. Ampere,C. Volt,D. Watt,B
Biosensor is used to measure?,A. Blood glucose level,B. The body pH value,C. Amount of hemoglobin,D. Salinity in Urine,A
"According to Big Bang Theory, the Universe began about __________ billion years ago.",A. 10 – 20,B. 20 – 30,C. 30 – 40,D. 40 – 50,A
The planets visible to us without using a telescope are __________?,A. 3,B. 4,C. 5,D. 6,C
The bodyguard of the Earth is __________ that save the Earth from many Comets and Asteroids.,A. Mars,B. Saturn,C. Uranus,D. Jupiter,D
The Great Spot is on the planet __________?,A. Saturn,B. Venus,C. Mars,D. Jupiter,D
The salinity of sea water is determined by the amount of common salt (Sodium Chloride) in __________ of sea water.,A. 1 gram,B. 10 grams,C. 1 kg,D. 10 kg,C
The planet which is easily visible from the Earth is?,A. Mercury,B. Venus,C. Mars,D. Jupiter,B
Urine is produced in __________?,A. Kidneys,B. Lungs,C. Large intestine,D. Liver,A
"At night, Plants intake __________ and release __________?",A. Oxygen – Carbon dioxide,B. Carbon dioxide – Oxygen,C. Oxygen – Carbon monoxide,D. None of theseCarbon monoxide – Oxygen,A
Oxidation is a chemical reaction involving the __________?,A. Gain of Electrons,B. Loss of Electrons,C. Gain of Protons,D. Loss of Protons,B
GPS is an abbreviation for?,A. Global Poles System,B. Global PolySiliconium Store,C. Global Positioning System,D. Global Position Structure,C
"In general, Comets have __________ orbits",A. Elliptical,B. Highly elliptical,C. Circular,D. Parabolic,B
The planet that moves round the Sun at the highest speed is_________?,A. Jupiter,B. Venus,C. Mars,D. Mercury,D
The nearest planet to the Earth is _________?,A. Venus,B. Mercury,C. Mars,D. Moon,A
In a very low temperature which from the following will freeze at last?,A. River water,B. Canal water,C. Sea water,D. Water in a lake,C
"During winter in cold countries, the __________ is mixed to melt the ice on the icy roads.",A. Salt,B. Chlorine,C. Carbon dioxide,D. Water,A
The fluid part of blood is known as __________?,A. plasma,B. platelets,C. blood cells,D. None of these,A
The lifespan of White Blood Cells is __________ day(s)?,A. 1 – 5 days,B. 3 – 7 days,C. 4 – 8 days,D. 5 – 21 days,D
Sound waves are _________ waves.,A. Transverse,B. Electromagnetic,C. Longitudinal,D. None of these,C
Instrument used for measuring very high temperature is __________?,A. Pyroscope,B. Pyrometer,C. Seismograph,D. Xylometer,B
"When white light is passed through a prism, it splits into __________ colours.",A. 5,B. 6,C. 7,D. 8,C
Which from the following is true for “Sound”?,A. Sound cannot travel through a vacuum,B. Sound cannot travel through gases,C. Sound cannot travel through liquids,D. Sound cannot travel through solids,A
CNG stands for?,A. Converted Natural Gas,B. Conduced Natural Gas,C. Conducted Natural Gas,D. Compressed Natural Gas,D
Which from the following is NOT a conductor?,A. Aluminium,B. Gold,C. Graphite,D. All are conductors,D
A camera uses a __________ to form an image.,A. convex lens,B. concave lens,C. condenser lens,D. none of these,A
The SI unit of “pressure” is _________.,A. pascal,B. joule,C. tesla,D. henry,A
The most densest substance on the Earth is __________.,A. Platinum,B. Copper,C. Steel,D. Osmium,D
Each day human body breathe in __________ liters of air.,"A. 5,000 to 10,000","B. 10,000 to 15,000","C. 15,000 to 20,000","D. 20,000 to 25,000",B
Deficiency of Vitamin-D results in __________?,A. night blindness,B. rickets,C. scurvy,D. hair fall,B
The most abundant element in the Earth’s crust is __________?,A. Oxygen,B. Hydrogen,C. Carbon Dioxide,D. Silicon,A
The most abundant element in the universe is __________.,A. Oxygen,B. Hydrogen,C. Carbon Dioxide,D. Silicon,B
The average adult has a blood volume of about __________ liters.,A. 4,B. 5,C. 6,D. 7,B
The Sun is a __________?,A. Star,B. Planet,C. Asteroid,D. Meteor,A
The gas used in a refrigerator to cool water is___________?,A. Nitrogen,B. Carbon dioxide,C. Methane,D. Tetrafluoroethane,D
A device which converts chemical energy into electrical energy is called __________?,A. motor,B. generator,C. moving-coil meter,D. battery,D
Radioactivity was discovered by __________?,A. Kelvin,B. Thomson,C. Rutherford,D. Bacquerel,D
"For a fixed mass of gass at constant temperature, if we decrease volume, the pressure will _________?",A. also decrease,B. increase,C. remains constant,D. none of these,B
The lifespan of Red Blood Cells is __________ days?,A. 60,B. 120,C. 180,D. 240,B
Deficiency of Vitamin-A results in __________?,A. Night blindness,B. rickets,C. scurvy,D. hair fall,A
Long-sight defect could be corrected by using __________ lens?,A. concave,B. Convex,C. diverging,D. none of these,B
