question,A,B,C,D,correct_answer
Two trains are moving in opposite directions 60 km/hr and 90 km/hr. Their lengths are 1.10 km and 0.9 km respectively. The time taken by the slower train to cross the faster train in seconds is_________?,A. 36,B. 45,C. 48,D. 49,C
"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of",A. 120,B. 260,C. 240,D. 220,C
A train 240 m long passes a pole in 24 seconds. How long will it take to pass a platform 650 m long?,A. 80 Sec,B. 89 Sec,C. 90 Sec,D. 95 Sec,B
Co-ordinates of Origin are:___________?,"A. (0,1)","B. (1,1)","C. (0,0)","D. (1,0)",C
"Twelve children take sixteen days to complete a work which can be completed by 8 adults in 12 days. After working for 3 days, sixteen adults left and six adults and four children joined them. How many days will they take to complete the remaining work ?",A. 3 days,B. 4 days,C. 6 days,D. 8 days,C
zero is a__________ number?,A. odd number,B. even number,C. whole number,D. None of these,C
A Quadrillion has _________ zeros?,A. 15 zeros,B. 18 zeros,C. 21 zeros,D. None of these,A
Who is known as the Father of Geometry?,A. kepler,B. Euclid,C. Pythagoras,D. Newton,B
What is 2+2÷2×2-2?,A. 0,B. -2,C. 2,D. 1,C
If a > b and b > a. Then ?,A. a = b,B. a ≠ b,C. Cannot be evaluated,D. None,C
18 men can eat 20 kg of rice in 3 days. How long will 6 men take to eat 40 kg of rice?,A. 20,B. 18,C. 32,D. 20,B
In a fort there is sufficient food for 600 men for a month. If 400 more men arrive the fort then how long the food is sufficient for now?,A. 20 days,B. 18 days,C. 28 days,D. 36 days,B
If 25 men can eat 150 kg of wheat in 30 days then 45 men can eat 450 kg of wheat in how many days?,A. 13 days,B. 50 days,C. 15 days,D. 18 days,B
In a hostel mess there is enough food provisions for 1200 boarders for a month. After 15 days half of them leave due to vacations. How long will the food provisions now last?,A. 20 days,B. 30 days,C. 35 days,D. 50 days,B
Certain quantity of food is sufficient for certain number of men for 13 days. After 1 day 2/5 of them desert how long will the food now last?,A. 20 days,B. 25 days,C. 18 days,D. 16 days,A
A group of people has provisions for 29 days for 24 men. If after 4 days 1/6 of them desert then food will last for?,A. 25 days,B. 28 days,C. 30 days,D. 32 days,C
In a fort the food was sufficient for two months. After half a month,A. 1.5 months,B. 40 days,C. 2 months,D. 50 days,D
15 cattle can graze a field in 20 days 20 cattle can graze 3 such field in how many days?,A. 30,B. 45,C. 60,D. 50,B
5kg food is consumed by 50 chickens in 2 days. 60 chickens will consume how much food in 6 days.,A. 2 kg,B. 6 kg,C. 15 kg,D. 18 kg,D
At any army camp the provisions were stored for 40 days but ten days after the no. of soldiers become double. Now the food lasts for x days. What is x?,A. 30,B. 40,C. 50,D. 15,D
A family of 12 people had enough provision for 15 days. But 3 guests came for 2 days. How long the provisions will last for?,A. 8,B. 15,C. 12,D. 12.5,D
At an inn there are provisions sufficient for 20 days for 40 people. At the end of every 10 days 5 people leave off. How many days the provision will be sufficient for new?,A. 20,B. 40,C. 30,D. none,D
A garrison has provision for 30 days for certain men. If 2/3 of them do not attend the mess then the food will last for?,A. 50 days,B. 90 days,C. 65 days,D. 55 days,B
A garrison has provisions for 40 days. At the end of 5 days half of the men left the garrison. How long the food will last for?,A. 45 days,B. 35 days,C. 70 days,D. 80 days,C
A camp has provision for 9 days for 500 men. At the end of 3 days 100 more men were admitted. How long will the food now last?,A. 12 days,B. 5 days,C. 9 days,D. 6 days,B
If 12 members family spend Rs. 850 in 10 days. Then a family of 8 people will spend Rs. 340 in how many days.,A. 8,B. 7,C. 6,D. 5,C
In a camp sufficient food was provided to 500 men to last for 10 days. But after 5 days 200 more men joined. How long the food will last for after joining the 2000 new men?,A. 3,B. 8,C. 5,D. 1,D
At a ship the food was enough for 50 people. But after 10 days half of the men died due to some viral disease and the food is sufficient for as long as before. How long the food was sufficient for then?,A. 20,B. 60,C. 70,D. 50,A
A garrison has sufficient food for 500 people to survive for 6 days. At the end of 2 days 100 men desert. How long the provisions are sufficient for now?,A. 5,B. 6,C. 4,D. 10,A
In a hospital there are enough injections sufficient for 15 days. Originally there were 80 patients but 40 more patients appeared. How many days these injections will be sufficient for now?,A. 10,B. 15,C. 16,D. 12,A
18 cattle graze a field in 12 days. 6 cattle can graze 3 of such fields in x days. What is x?,A. 90,B. 72,C. 36,D. 108,D
25 men can consume 250kg of wheat in 20 days. 20 men cang consume how much wheat in 25 days?,A. 300,B. 200,C. 250,D. 350,C
In a ship the provisions are sufficient for 800 men for 50 days. How long will these be sufficient for if there would have been 200 more men?,A. 40,B. 50,C. 30,D. 56,A
In a fort there is enough food sufficient for 1200 men for 10 days. How long the food would have last for if there would have been 1000 men.,A. 15,B. 12,C. 10,D. 20,B
"A shopkeeper earns a profit of 10% after allowing a discount of 20% on the marked price. The cost price of the article whose marked price is Rs. 880, is =_______ ?",A. Rs. 704,B. Rs. 640,C. Rs. 774,D. Rs. 680,C
"A shopkeeper marks his goods 20% above cost price, but allows 30% discount for cash payment. His net loss is ?",A. 8%,B. 10%,C. 16%,D. 20%,C
"The marked price of a watch was Rs. 720. A man bought the same for Rs. 550.80, after getting two successive discounts, the first 10%. What was the second discount rate ?",A. 12%,B. 14%,C. 15%,D. 18%,C
"A tradesman marks his goods 10% above his cost price. If he allows his customers 10% discount on the marked price. How much profit or loss does he make, if any ?",A. 1% gain,B. 1% loss,C. 5% gain,D. No gain no loss,B
"If the true discount on s sum due 2 years hence at 14% per annum be Rs. 168, the sum due is:________?",A. Rs. 768,B. Rs. 968,C. Rs. 1960,D. Rs. 2400,A
The present worth of Rs. 1404 due in two equal half-yearly installments at 8% per annum simple interest is:,A. Rs. 1325,B. Rs. 1300,C. Rs. 1350,D. Rs. 1500,A
The simple interest and the true discount on a certain sum for a given time and at a given rate are Rs. 85 and Rs. 80 respectively. The sum is:_______?,A. Rs. 1800,B. Rs. 1450,C. Rs. 1360,D. Rs. 6800,C
"The interest on Rs. 750 for 2 years is the same as the true discount on Rs. 960 due 2 years hence. If the rate of interest is the same in both cases, it is:",A. 12%,B. 14%,C. 15%,D. 16%,B
"Rs. 20 is the true discount on Rs. 260 due after a certain time. What will be the true discount on the same sum due after half of the former time, the rate of interest being the same?",A. Rs. 10,B. Rs. 10.40,C. Rs. 15.20,D. Rs. 13,B
The true discount on Rs. 1760 due after a certain time at 12% per annum is Rs. 160. The time after which it is due is:,A. 6 months,B. 8 months,C. 9 months,D. 10 months,D
"A man buys a watch for Rs. 1950 in cash and sells it for Rs. 2200 at a credit of 1 year. If the rate of interest is 10% per annum, the man:",A. gains Rs. 55,B. gains Rs. 50,C. loses Rs. 30,D. gains Rs. 30,B
The true discount on a bill due 9 months hence at 16% per annum is Rs. 189. The amount of the bill is:,A. Rs. 1386,B. Rs. 1764,C. Rs. 1575,D. Rs. 2268,B
"If Rs. 10 be allowed as true discount on a bill of Rs. 110 due at the end of a certain time, then the discount allowed on the same sum due at the end of double the time is:",A. Rs. 20,B. Rs. 21.81,C. Rs. 22,D. Rs. 18.33,D
"A man wants to sell his scooter. There are two offers, one at Rs. 12,000 cash and the other a credit of Rs. 12,880 to be paid after 8 months, money being at 18% per annum. Which is the better offer?","A. Rs. 12,000 in cash","B. Rs. 12,880 at credit",C. Both are equally good,D. Rs. 18.33,A
"A trader owes a merchant Rs. 10,028 due 1 year hence. The trader wants to settle the account after 3 months. If the rate of interest 12% per annum, how much cash should he pay?",A. Rs. 9025.20,B. Rs. 9200,C. Rs. 9600,D. Rs. 9560,B
The true discount on Rs. 2562 due 4 months hence is Rs. 122. The rate percent is:_________?,A. 12%,B. 13%,C. 15%,D. 14%,C
"A man purchased a cow for Rs. 3000 and sold it the same day for Rs. 3600, allowing the buyer a credit of 2 years. If the rate of interest be 10% per annum, then the man has a gain of:",A. 0%,B. 5%,C. 7.5%,D. 10%,A
"Rs. 800 amounts to Rs. 920 in 3 years at simple interest. If the interest rate is increased by 3%, it would amount to how much ?",A. Rs. 992,B. Rs. 1112,C. Rs. 1056,D. Rs. 1182,A
"A sum was put a simple interest at a certain rate for 2 years. Had it been put at 4% higher rate, it would have fetched Rs. 60 more. The sum is:",A. Rs.750,B. Rs.700,C. Rs.940,D. Rs.820,A
A man invests a certain sum of money at 6% per annum simple interest and another sum at 7% per annum simple interest. His income from interest after 2 years was Rs. 354. One-forth of the first sum is equal to one-fifth of the second sum. The total sum invested was :,A. Rs.3100,B. Rs.2700,C. Rs.2200,D. Rs.1800,B
You deposit $600 into a 6 month certificate of deposit. After 6 months the balance is $618. Find the simple annual interest rate,A. 6%,B. 5%,C. 7%,D. 8%,A
"How long will it take for a sum of money to grow from Rs.1250 to Rs.10,000, if it is invested at 12.5% p.a simple interest?",A. 65 years,B. 56 years,C. 45 years,D. 57 years,B
What is the rate of interest at which Rs.150 becomes Rs. 220 in 10 years.,A. 11/3%,B. 14/3%,C. 12%,D. 14%,B
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is :________?,A. Rs. 700,B. Rs. 690,C. Rs. 650,D. Rs. 698,D
"A sum was put at simple interest at a certain rate for 3 years. Had it been put at 2% higher rate, it would have fetched Rs 360 more. Find the sum.",A. Rs.4000,B. Rs.9000,C. Rs.5000,D. Rs.6000,D
A sum of money amounts to Rs. 9800 after 5 years and Rs. 12005 after 8 years at the same rate of simple interest. The rate of interest per annum is:,A. 5%,B. 8%,C. 12%,D. 15%,C
A sum of Rs. 2500 amounts to Rs. 3875 in 4 years at the rate of simple interest. What is the rate of interest?,A. 12.25%,B. 12%,C. 6%,D. 13.75%,D
A sum of money becomes 7⁄5 of itself in 4 years at a certain rate of simple interest. The rate per annum is :,A. 9%,B. 10%,C. 11%,D. 12%,B
"If there is a total of 104 weekly instalments and a third deposit, find the interest charged",A. 237.55,B. 337,C. 443,D. 334,A
What annual installment will discharge a debt of Rs 1092 due in 3 years at 12% simple interest?,A. Rs.325,B. Rs.545,C. Rs.560,D. Rs.550,A
"If the simple interest on a certain sum of money after 3 1⁄8 years is 1⁄4 of the principal, what is the rate of interest per annum?",A. 6%,B. 4%,C. 8%,D. 12%,C
How much time will it take for an amount of Rs. 900 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,A. 2 years,B. 3 years,C. 1 year,D. 4 years,A
"A sum was put a simple interest at a certain rate for 2 years. Had it been put at 4% higher rate, it would have fetched Rs. 60 more. The sum is:________?",A. Rs.750,B. Rs.700,C. Rs.820,D. Rs.940,A
"A car is purchased on hire-purchase. The cash price is $21 000 and the terms are a deposit of 10% of the price, then the balance to be paid off over 60 equal monthly installments. Interest is charged at 12% p.a.  What is the monthly installment?",A. $503,B. $504,C. $505,D. $506,B
"A sum of Rs. 725 is lent in the beginning of a year at a certain rate of interest. After 8 months, a sum of Rs. 362.50 more is lent but at the rate twice the former. At the end of the year, Rs. 33.50 is earned as interest from both the loans. What was the original rate of interest?",A. 3.46%,B. 4.5%,C. 5%,D. 6%,A
"A lends Rs. 1500 to B and a certain sum to C at the same time at 8% per annum simple interest. If after 4 years, A altogether receives Rs. 1400 as interest from B and C, then the sum lent to C is________?",A. Rs.2875,B. Rs.1885,C. Rs.2245,D. Rs.2615,A
"Mr. Tassawar Javed invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?",A. Rs. 6400,B. Rs. 6500,C. Rs. 7200,D. Rs. 7500,A
The simple interest on Rs.500 at 6% per annum from May 3rd to July 15th in the same year is_________?,A. Rs.8,B. Rs.6,C. Rs.4,D. Rs.9,B
"An amount of 5,000 is invested at a fixed rate of 8 per cent per annum. What amount will be the value of the investment in five years time, if the interest is compounded every six months?",A. 7401.22,B. 3456,C. 4567,D. 7890,A
A father left a will of Rs.35 lakhs between his two daughters aged 8.5 and 16 such that they may get equal amounts when each of them reach the age of 21 years. The original amount of Rs.35 lakhs has been instructed to be invested at 10% p.a. simple interest. How much did the elder daughter get at the time of the will?,A. 17.5 lakhs,B. 21 lakhs,C. 15 lakhs,D. 20 lakhs,B
What is the present worth of Rs. 132 due in 2 years at 5% simple interest per annum ?,A. Rs. 112,B. Rs. 118.80,C. Rs. 120,D. Rs. 122,C
"Nabeela took a loan of Rs. 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period, what was the rate of interest ?",A. 3.6,B. 6,C. 18,D. Cannot be determined,B
A man took a loan from a bank at the rate of 12% p.a. simple interest. After 3 years he had to pay Rs. 5400 interest only for the period. The principal amount borrowed by him was :,A. Rs. 2000,"B. Rs. 10,000","C. Rs. 15,000","D. Rs. 20,000",C
"A sum of Rs. 12,500 amounts to Rs. 15,500 in 4 years at the rate of simple interest What is the rate of interest ?",A. 3%,B. 4%,C. 5%,D. 6%,D
A sum of money amounts to Rs 9800 after 5 years and Rs. 12005 after 8 years at the same rate of simple interest. The rate of interest per annum is :,A. 5%,B. 8%,C. 12%,D. 15%,C
"A sum of money trebles itself in 15 years, 6 months. In how many years would it double itself ?",A. 6 years 3 months,B. 7 years 9 months,C. 8 years 3 months,D. 9 years 6 months,B
What will be the ratio of simple interest earned by certain amount at the same rate of interest for 6 years and that for 9 years ?,A. 1 : 3,B. 1 : 4,C. 2 : 3,D. Data inadequate,C
"An automobile financier claims to be lending money at simple interest, but he includes the interest every six months for calculating the principal. If he is charging an interest of 10%, the effective rate of interest becomes :_________?",A. 10%,B. 10.25%,C. 10.50%,D. None of these,B
The top of a 15 metre high tower makes an angle of elevation of 60° with the bottom of an electric pole and angle of elevation of 30° with the top of the pole. What is the height of the electric pole ?,A. 5 metres,B. 8 metres,C. 10 metres,D. 12 metres,C
"The angle of elevation of the sun, when the length of the shadow of a tree is √3 times the height of the tree, is :________?",A. 30°,B. 45°,C. 60°,D. 90°,A
"From a point P on a level ground, the angle of elevation of the top of a tower is 30°. If the tower is 100 m high, the distance of point P from the foot of the tower is :_________?",A. 149 m,B. 156 m,C. 173 m,D. 200 m,C
"If the height of a pole is 2√3 metres and the length of its shadow is 2 metres, find the angle of elevation of the sun.",A. 50°,B. 60°,C. 70°,D. 80°,B
"Two ships are sailing in the sea on the two sides of a lighthouse. The angles of elevation of the top of the lighthouse as observed from the two ships are 30° and 45° respectively. If the lighthouse is 100 m high, the distance between the two ships is :_________?",A. 173 m,B. 200 m,C. 273 m,D. 300 m,C
The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is :_________?,A. 2.3 m,B. 4.6 m,C. 7.8 m,D. 9.2 m,D
"Find out the wrong number in the series : 1, 1, 2, 6, 24, 96, 720",A. 6,B. 24,C. 96,D. 720,C
Find the one which does not belong to that group ?,A. 358,B. 246,C. 134,D. 862,D
Find the one which does not belong to that group ?,A. 508,B. 328,C. 608,D. 148,C
Find the one which does not belong to that group ?,A. 30,B. 630,C. 10,D. 520,B
Find the one which does not belong to that group ?,A. 20,B. 42,C. 58,D. 72,C
Find the one which does not belong to that group ?,A. 4422,B. 2442,C. 4242,D. 2244,C
Find the one which does not belong to that group ?,A. 30,B. 27,C. 36,D. 45,A
Find the one which does not belong to that group ?,A. 42624,B. 37573,C. 84284,D. 93339,C
Find the one which does not belong to that group ?,A. 35,B. 48,C. 75,D. 84,A
Find the one which does not belong to that group ?,A. 343,B. 121,C. 1331,D. 2197,B
Find the one which does not belong to that group ?,A. 8,B. 27,C. 64,D. 125,C
Find the one which does not belong to that group ?,A. 36,B. 49,C. 64,D. 81,B
Find the one which does not belong to that group ?,A. 41,B. 43,C. 53,D. 57,D
Find the one which does not belong to that group ?,A. 16,B. 28,C. 36,D. 64,C
Find the one which does not belong to that group ?,A. 27,B. 37,C. 47,D. 67,A
Find the one which does not belong to that group ?,A. 3,B. 4,C. 5,D. 9,B
"A, B and C enter into a partnership. They invest Rs. 40,000, Rs. 80,000 and Rs. 1,20,000 respectively. At the end of the first year, B withdraws Rs. 40,000, while at the end of the second year, C withdraws Rs. 80,000. In what ratio will the profit be shared at the end of 3 years?",A. 2 : 3 : 4,B. 3 : 2 : 4,C. 3: 2 : 1,D. 3: 4 : 7,D
"A began a business with Rs. 85,000. He was joined afterwards by B with Rs. 42,500. For how much period does B join, if the profits at the end of the year are divided in the ratio of 3 : 1?",A. 4 months,B. 5 months,C. 6 months,D. 8 months,D
"A, B and C enter into a partnership. They invest Rs. 40,000, Rs. 80,000 and Rs. 1,20,000 respectively. At the end of the first year, B withdraws Rs. 40,000, while at the end of the second year, C withdraws Rs. 80,000. IN what ratio will the profit be shared at the end of 3 years?",A. 2:3:5,B. 3:4:7,C. 4:5:9,D. None of these,B
"Kamal started a business investing Rs. 9000. After five months, Sameer joined with a capital of Rs. 8000. If at the end of the year, they earn a profit of Rs. 6970, then what will be the share of Sameer in the profit?",A. Rs. 1883.78,B. Rs. 2380,C. Rs. 3690,D. Rs. 3864,B
"A, B, C enter into a partnership investing Rs. 35,000, Rs. 45,000 and Rs. 55,000 respectively. The respective shares of A, B, C in annual profit of Rs. 40,500 are:","A. Rs. 10,500, Rs. 13,500, Rs. 16,500","B. Rs. 11,500, Rs. 13,000, Rs. 16,000","C. Rs. 11,000, Rs. 14,000, Rs. 15,500","D. Rs. 11,500, Rs. 12,500, Rs. 16,500",A
"Anees and Raees started a business investing Rs. 22,500 and Rs. 35,000 respectively. Out of a total profit of Rs. 13,800, Raees’s share is:________?",A. Rs. 5400,B. Rs. 7200,C. Rs. 8400,D. Rs. 9600,C
"A and B start a business, with A investing the total capital of Rs.50000, on the condition that B pays A interest @ 10% per annum on his half of the capital. A is a working partner and receives Rs.1500 per month from the total profit and any profit remaining is equally shared by both of them. At the end of the year, it was found that the income of A is twice that of B. Find the total profit for the year?",A. 53000,B. 58000,C. 50000,D. 59000,D
"A and B invests Rs.8000 and Rs.9000 in a business. After 4 months, A withdraws half of his capital and 2 months later, B withdraws one-third of his capital. In what ratio should they share the profits at the end of the year?",A. 20:23,B. 34:43,C. 32:45,D. 37:45,C
"A and B invests Rs.10000 each, A investing for 8 months and B investing for all the 12 months in the year. If the total profit at the end of the year is Rs.25000, find their shares?","A. Rs.8000, Rs.17000","B. Rs.9000, Rs.16000","C. Rs.18000, Rs.7000","D. Rs.10000, Rs.15000",D
"A and B starts a business with Rs.8000 each, and after 4 months, B withdraws half of his capital . How should they share the profits at the end of the 18 months?",A. 18:11,B. 22:13,C. 23:12,D. 11:9,A
A and B start a business with Rs.6000 and Rs.8000 respectively. Hoe should they share their profits at the end of one year?,A. 1:2,B. 3:4,C. 2:5,D. 3:7,B
"A, B and C invests Rs.2000, Rs.3000 and Rs.4000 in a business. After one year A removed his money; B and C continued the business for one more year. If the net profit after 2 years be Rs.3200, then A’s share in the profit is?",A. Rs.1000,B. Rs.600,C. Rs.800,D. Rs.400,D
Kashif and Nadeem jointly started a business. Kashif invested three times as Nadeem did and invested his money for double time as compared to Nadeem. Nadeem earned Rs. 4000. If the gain is proportional to the money invested and the time for which the money is invested then the total gain was?,A. Rs.16000,B. Rs.20000,C. Rs.24000,D. Rs.28000,D
"A is a working partner and B is a sleeping partner in the business. A puts in Rs.15000 and B Rs.25000, A receives 10% of the profit for managing the business the rest being divided in proportion of their capitals. Out of a total profit of Rs.9600, money received by A is?",A. Rs.3240,B. Rs.3600,C. Rs.3800,D. Rs.4200,D
"The ratio of investments of two partners P and Q is 7:5 and the ratio of their profits is 7:10. If P invested the money for 5 months, find for how much time did Q invest the money?",A. 7 months,B. 10 months,C. 9 months,D. 11 months,B
A and B start a business jointly. A invests Rs.16000 for 8 months and B remains in the business for 4 months. Out of the total profit B claims 2/7th share. How much money is contributed by B?,A. Rs.10000,B. Rs.12800,C. Rs.6000,D. Rs.8000,B
"In a partnership between A, B and C. A’s capital is Rs.5000. If his share of a profit of Rs.800 is Rs.200 and C’s share is Rs.130, what is B’s capital?",A. Rs.3250,B. Rs.6250,C. Rs.10250,D. Rs.11750,D
A and B invests Rs.3000 and Rs.4000 respectively in a business. If A doubles his capital after 6 months. In what ratio should A and B divide that year’s profit?,A. 9:10,B. 9:8,C. 3:4,D. 39:49,B
A and B put in Rs.300 and Rs.400 respectively into a business. A reinvests into the business his share of the first year’s profit of Rs.210 where as B does not. In what ratio should they divide the second year’s profit?,A. 39:40,B. 40:39,C. 3:4,D. 4:3,A
"A and B rent a pasture for 10 months. A put in 80 cows for 7 months. How many can B put in for the remaining 3 months, if he pays half as much again as A?",A. 120,B. 180,C. 200,D. 280,D
"A, B and C enter into partnership. A invests some money at the beginning, B invests double the amount after 6 months, and C invests thrice the amount after 8 months. If the annual gain be Rs.18000. A’s share is?",A. Rs.7500,B. Rs.7200,C. Rs.6000,D. Rs.5750,C
"Three persons invested Rs.9000 in a joint business. The second person invested Rs.1000 more than the first and the third Rs.1000 more than second. After two years, they gained Rs.5400. How much third person will get?",A. Rs.2400,B. Rs.3600,C. Rs.2850,D. Rs.2000,A
"A, B and C are partners. A receives 2/3 of profits, B and C dividing the remainder equally. A’s income is increased by Rs.200 when the rate to profit rises from 5 to 7 percent. Find the Capital of B?",A. Rs.2450,B. Rs.3600,C. Rs.2500,D. Rs.3100,C
"Two persons A and B take a field on rent. A puts on it 21 horses for 3 months and 15 cows for 2 months; B puts 15 cows for 6months and 40 sheep for 7 1/2 months. If one day, 3 horses eat as much as 5 cows and 6 cows as much as 10 sheep, what part of the rent should A pay?",A. 1/3 rd,B. 2/5 th,C. 2/3 rd,D. 1/5 th,A
"A, B and C rents a pasture for Rs.870. A put in 12 horses for 8 months, B 16 horses for 9 months and 18 horses for 6 months. How much should C pay?",A. Rs.270,B. Rs.185,C. Rs.215,D. Rs.380,A
A began business with Rs.45000 and was joined afterwards by B with Rs.5400. When did B join if the profits at the end of the year were divided in the ratio of 2:1?,A. 4 months,B. 6 months,C. 7 months,D. 9 months,C
"A, B and C are entered into a partnership. A invested Rs.6500 for 6 months, B invested Rs.8400 for 5 months and C invested for Rs.10000 for 3 months. A is a working partner and gets 5% of the total profit for the same. Find the share of C in a total profit of Rs.7400.",A. 1750,B. 1900,C. 8600,D. 10300,B
"A, B and C are partners in a business. Their capitals are respectively, Rs.5000, Rs.6000 and Rs.4000. A gets 30% of the total profit for managing the business. The remaining profit is divided among three in the ratio of their capitals. In the end of the year, the profit of A is Rs.200 more than the sum of the profits of B and C. Find the total profit.",A. Rs.4500,B. Rs.5200,C. Rs.1800,D. Rs.3000,D
If 6 (A’s capital) = 8 (B’s capital) = 10 (C’s capital). Then the ratio of their capitals is:,A. 3:4:5,B. 12:15:20,C. 20:15:12,D. 6:8:10,C
