question,A,B,C,D,correct_answer
Which of the following Island group named as ‘Sandwich Island’?,A. Hawaii Island,B. Falkland Islands,C. Greenland,D. Tuvalu,A
Which of the following is the largest Island of Japan?,A. Hokkaido,B. Honshu,C. Shikoku,D. Kyushu,B
Who was the first president of Uzbekistan?,A. Abdulhashim Mutalov,B. Oʻtkir Sultonov,C. Islam Karimov,D. Nigmatilla Yuldashev,C
Who defeated Darius III in the Battle of Gaugamela?,A. Aristotle,B. Julius Caesar,C. Napoleon Bonaparte,D. Alexander the Great,D
Who founded the Achaemenid Empire?,A. Darius I,B. Cambyses II,C. Cyrus the Great,D. Alexander the Great,C
Which king was first addressed as ‘Your Majesty’?,A. Akbar,B. Louis,C. Victoria,D. Henry VIII,D
Who is the founder of Greek historiography?,A. Aristotle,B. Herodotus,C. Thucydides,D. Hippocrates,B
Who became the first ever non Muslim woman elected to Pakistan’s senate?,A. Krishna kumari,B. Sonakshi kumari,C. Payal kumari,D. Soni kumari,A
Which monarch called himself as the Second Alexander?,A. Akbar,B. Ashoka,C. Samudragupta,D. Ala-ud-din Khilji,D
Headquarter of NASA is located in?,A. South Wales,B. Berlin,C. Bern,D. Washington,D
Who is the National Poet of Afghanistan?,A. Amir crore,B. Khushal khan khattak,C. Rehman Baba,D. None of these,B
Who invented optical fiber?,A. Samuel Cohen,B. Narinder Kapany,C. Percy L.Spencer,D. T.H. Maimaha,B
“FREE TOWN” is the capital of?,A. Somalia,B. Slovenia,C. Cuba,D. Sierra Leone,D
After Pashtun which is the second largest ethnic group of Afghanistan?,A. Uzbek,B. Baluch,C. Tajik,D. Hazaras,C
“Taipei” is the capital of?,A. Tanzania,B. Vietnam,C. Taiwan,D. Togo,C
Which of the following country are called “Land of free peoples”?,A. Thailand,B. Japan,C. Norway,D. Canada,A
when was the parachute invented?,A. 1560,B. 1570,C. 1783,D. 1470,C
The term of office of a judge of the ICJ is?,A. 9 years,B. 8 years,C. 7 years,D. 6 years,A
In which month does the UN general assembly meet annually on third Tuesday?,A. September,B. October,C. November,D. December,A
Who was the founder of HAMAS in 1987?,A. Sheikh Ahmed yassin,B. Yasser arafat,C. Abdul majeed,D. Zulfiqar Ali,A
Who is the current leader of HAMAS?,A. Ismail Haniah,B. Yasser arafat,C. Abdul majeed,D. Zulfiqar Ali,A
Asian developement bank was established in?,A. 1964,B. 1966,C. 1968,D. 1970,B
Which continent has no desert?,A. Europe,B. N.America,C. S.America,D. Australia,A
Corbillion Cup is given in the game of?,A. Golf,B. Squash,C. Table Tennis,D. None of these,C
Dushanbe is the capital of?,A. Tajikistan,B. Ukraine,C. kazakhistan,D. Turkmenistan,A
Who was the last Mughal emperor to sit on the peacock throne?,A. Muhammad Shah,B. Aurangzeb,C. Shah zafar,D. Shah alam II,A
Famous painting “The sunflower” is painted by?,A. Vincent van gogh,B. Banjamin west,C. Gustav klint,D. Pablo picasso,A
Napoleon regarded which battle as his greatest victory?,A. Austerlitz,B. Arras,C. Amiens,D. Assayer,A
The first war b/w Arabs and Israel was fought in?,A. 1948,B. 1946,C. 1942,D. 1940,A
Which US president resigned while in office?,A. Richard Nixon,B. Jimmy Carter,C. Ronald Reagan,D. J. F. Kennedy,A
Which country has no railway track?,A. Afghanistan,B. China,C. Russia,D. Somalia,A
The oldest flag of the world is?,A. Denmark,B. China,C. Japan,D. Greece,A
The oldest anthem of the world is?,A. Netherlands,B. China,C. Russia,D. Denmark,A
Total number UN Security Council members is?,A. 5,B. 10,C. 15,D. 20,C
How many official working languages recognized by UN (United Nations)?,A. 4,B. 5,C. 6,D. 7,C
The UN official birthday is celebrated on?,"A. December 24, 1945","B. October 24, 1945","C. September 24, 1945","D. November 24, 1945",B
headquarter of the African Union is located in?,A. Johannesburg,B. Cairo,C. Dakar,D. Addis Ababa,D
What was the name of concrete barrier that physically and ideologically divided Germany in 1961?,A. Peace Wall,B. Peace Berlin Wall,C. Berlin Wall,D. Peace Wall of Berlin,C
Which Country law is considered to be harsh?,A. Iran,B. Saudi Arabia,C. China,D. Ethiopia,B
Braille education system was introduced by Braille for?,A. Blinds,B. Dumb,C. Handicap,D. Labours,A
Who was the first Asian to receive noble prize in 1913?,A. Rabinder Nath Tagore,B. C.V.Raman,C. I.A.Bunin,D. Mother teresa,A
The word democracy has been derived from which language?,A. French,B. Latin,C. Greek,D. Arabic,C
Nagqu is located in which country?,A. China,B. Nepal,C. Bhutan,D. Mongolia,A
John Austin presented his “Theory of sovereignty” in his book “The Province of Jurisprudence Determined” which was published in?,A. 1832,B. 1935,C. 1717,D. 1736,A
John Stuart Mill wrote a famous book ” on liberty” in?,A. 1859,B. 1850,C. 1759,D. 1871,A
The High courts in India were established under the?,A. Indian High Courts Act 1868,B. Indian High Courts Act 1871,C. Indian High Courts Act 1858,D. Indian High Courts Act 1861,D
The Pico Island is located in?,A. Switzerland,B. Portugal,C. Turkey,D. Egypt,B
"The Pena Palace, a UNESCO World Heritage Site, is located in?",A. Egypt,B. Portugal,C. Switzerland,D. Turkey,B
The North Pole of the Earth is located in?,A. Norway,B. Antarctica,C. Arctic Ocean,D. Pacific Ocean,C
Egypt connects which of the following two continents?,A. Asia and Europe,B. Asia and Africa,C. South America and North America,D. Asia and Australia,B
Sultan Ahmed Mosque in Istanbul is popularly known as the?,A. Green Mosque,B. Blue Mosque,C. Red Mosque,D. Yellow Mosque,B
Panama country connects which two continents?,A. Asia and Europe,B. Asia and Africa,C. South America and North America,D. Asia and Australia,C
How Many Countries Are Landlocked In Asia?,A. 11 Countries,B. 12 Countries,C. 13 Countries,D. 14 Countries,B
Which Country  joined SAARC in April 2007?,A. Pakistan,B. India,C. Sri Lanka,D. Afghanistan,D
The shortest day is?,A. 22 June,B. 22 July,C. 22 September,D. 22 December,D
Augusta Raurica is located in?,A. Egypt,B. Portugal,C. Switzerland,D. Turkey,C
The South Pole of the Earth is located in?,A. Norway,B. Antarctica,C. Arctic Ocean,D. Pacific Ocean,B
The birthplace of the World Wide Web was?,A. NASA,B. Pentagon,C. CERN,D. Microsoft,C
Alexandria is a city in?,A. Turkey,B. Egypt,C. Jordan,D. Greece,B
Rainfall related to mountains is:,A. Orographic rainfall,B. Normal rainfall,C. Monsoon rains,D. Cyclonic rainfall,A
Which waterway gives the source of terrestrial moisture?,A. Ocean,B. Rivers,C. Lakes,D. Canals,C
A large group of islands is known as:,A. Peninsula,B. Archipelago,C. Strait,D. Channel,B
Name the two double landlocked countries of the world?,A. Uzbekistan and Liechtenstein,B. Uzbekistan and Chad,C. Uzbekistan and Mali,D. Liechtenstein and Chad,A
The Seven Rila Lakes are located in?,A. Bulgaria,B. Hungary,C. Poland,D. Czech Republic,A
“Netherlands” literally means?,A. ideal location,B. lower countries,C. mouth of land,D. land of sun set,B
The Orange river flows in?,A. Indonesia,B. Egypt,C. South Africa,D. Mexico,C
What is Chandragup?,A. Famous Personality,B. Food Item,C. Tree,D. Mud Volcano,D
Transportation and trade are______?,A.  Primary activities,B. Secondary activities,C. Tertiary activities,D. Quaternary activities,C
"Maize, Rice and Wheat are generally referred as_____?",A. Root crops,B. Legumes Crops granaries,C. Cereal Crops,D. None of Above,C
The largest latitude circle on earth is ________?,A. Arctic circle,B. Tropic of cancer,C. Tropic of Capricorn,D. The Equator,D
How many Pakistani blue helmets have embraced martyrdom while serving under the UN umbrella.?,A. 150,B. 156,C. 160,D. 165,B
Red sea is between____________?,A. Arabia and Africa,B. Germany and Scandinavia,C. China and Japan,D. Turkey and Russia,A
Sea of Japan’ is famous for____________?,A. Oil Reserves,B. Icebergs in water,C. Fishing Area,D. Mineral Water,C
"Which Chief Justice of Pakistan died in office, 9 days after taking oath?",A. Iftikhar Muhammad Chaudhry,B. Sir Abdul Rashid,C. Muhammad Shahabuddin,D. Mohammad Haleem,C
Which is the world’s tallest lighthouse?,A. Baishamen Lighthouse,B. Jeddah Light,C. Alexandria Light,D. Ile Vierge Lighthouse,B
When Facebook launched?,A. January 2004,B. February 2004,C. March 2004,D. April 2004,B
"the world’s most famous physicist, Stephen Hawking has __________ children’s?",A. 1,B. 3,C. 4,D. 5,B
Headquarters of Interpol is located in _____________?,"A. Vienna, Austria","B. New york, USA","C. London, UK","D. Lyon, France",D
Swat Valley is situated in the mountain range of___________?,A. Hindukush,B. Karakorum,C. Himalayas,D. None of the above,A
Cyprus is an island in the__________?,A. Mediterranean Sea,B. South China Sea,C. Red Sea,D. Caribbean Sea,A
Bering Strait separates Asia from_________?,A North America,B. Australia,C. Africa,D. None of the above one,A North America
Alexandria is a seaport of_________?,A. Greece,B. Germany,C. Iran,D. Egypt,D
World’s tallest tree is known as_________?,A. Hawthorn,B. Redwood,C. Yellow Birch,D. Basswood,B
The first artificial satellite on earth is ______________?,A. Sputnik I.,B. Giotto,C. Prithvi,D. Gaia,A
CTBT was adopted by the UN General Assembly on___________?,"A. 12 September, 1995","B. 10 September, 1996","C. 13 September, 1997","D. 18 September, 1998",B
Capital of East Timor___________?,A. Dili,B. Helsinki,C. Beirut,D. Sydney,A
who said “Better to reign in hell than serve in heaven” ?,A. Hitler,B. Sadam hussain,C. Milton,D. Bush,C
The name United nations was adopted at the suggestion of,A. Stalin,B. Roosevelt,C. Chrchill,D. George Degual,B
Who was known as “Man of Destiny”?,A. Napoleon,B. Nehru,C. Hitler,D. Musolini,A
When did Facebook go public?,"A. April 15, 2012","B. May 18, 2012","C. July 11, 2012","D. December 28, 2012",B
The Engadin Valley is located in:____________?,A. Switzerland,B. Portugal,C. Turkey,D. Egypt,A
Lake Lucerne that has complicated shape with several sharp bends and four arms is located in:,A. Egypt,B. Portugal,C. Switzerland,D. Turkey,C
NPT stands for__________?,A. Non-Poliferation Treaty,B. National Protection Treaty,C. Non-Resident Protection Treaty,D. National Purification Treaty,A
What is the Capital of Ecuador?,A. Quito,B. Islamabad,C. Delhi,D. Mexico,A
Rawal Dam is constructed on which river_______?,A. Korang river,B. Indus river,C. Kabul river,D. Chenab rive,A
Who is the Father of Communism?,A. Adam Smith,B. Karl Marx,C. Arestotle,D. Alfred Marshell,B
The Sinai Peninsula is located in:,A. Egypt,B. Portugal,C. Switzerland,D. Turkey,A
Herodotus is called:,A. Father of Physics,B. Father of Comedy,C. Father of History,D. Father of Chemistry,C
Which book was written on the life of Sir Syed Ahmad Khan:,A.  Spirit of Islam,B.  Aab-e- Hayat,C.  Hayat-e-jawaid,D.  Pir-e-Kamil,C
Al Jazeera TV channel belongs to which country?,A. Iran,B. Syria,C. Qatar,D. Kuwait,C
The most salty sea in the wolrd_____?,A. Arabian Sea,B. Dead Sea,C. Black Sea,D. Caspian Sea,B
World fastest bird is___?,A. Humming Bird,B. Ostrich,C. Hen,D. Peregrine falcon,D
Petronas Tower is in_____?,A. Kuala Lumpur,B. Paris,C. Colombia,D. Rome,A
world book day is celebrated on____?,A. 21 May,B. 17 Mar,C. 22 Apr,D. 23 Apr,D
Non-violence day is internationally observed on:,A. October 1,B. October 2,C. October 3,D. October 4,B
The depth of the Mariana Trench is __________ meters.,"A. 10,011","B. 10,411","C. 10,611","D. 10,984",D
Helvetia is the old name of___?,A. Indonesia,B. Veitnam,C. Italy,D. Switzerland,D
What is the longest glacier in the Karakoram and second-longest in the world’s non-polar areas?,A. Hispar Glacier,B. Siachen Glacier,C. Passu Glacier,D. Sokha Glacier,B
What does the Roman Numeral C represents ?,A. 1000,B. 100,C. 50,D. None of the above,B
What is the full form of NADRA ?,A. National Digital and Registration Authority,B. National Database and Registration Authority,C. National Dues and Regulation Authority,D. None of the above,B
Commonwealth Secretariat was formed in which year___________?,A. 1959,B. 1963,C. 1965,D. 1967,C
"World’s oldest person (woman) From japan,was died on 21-april-2018, at the age of 117 was______?",A. Junko tabie,B. Shazia iqbal,C. Jeane calmete,D. Nabi tajima,D
The News agency of Bahrain is:_____?,A. APS,B. BNA,C. APP,D. ATA,B
Who was the Producer of Film Jinnah released in November 1998?,A. Jamil dehlvi,B. Noman ijaz,C. Naseer khokhar,D. Jahangir Qureshi,A
Which 1st Muslim Leader was selected as the president of the Indian National Congress in 1887?,A. Badruddin Tayabi,B. Ayub khan,C. Minhal tayab,D. Mirza hasan,A
Which city was the first capital of the Kingdom of Italy until 1865?,A. Florence,B. Rome,C. Turin,D. None of Above,C
Which country is separated form Ethiopia by the Red Sea?,A. Yemen,B. Canada,C. Genoa,D. Belgium,A
"Barbara Bush, the wife of George H. W. Bush died on_____?",A. 15 April 2018,B. 16 April 2018,C. 17 April 2018,D. 18 April 2018,C
___ is the official residence of President of Sri Lanka,A. Elysee Palace,B. Temple Trees,C. President’s House,D. None,C
National juice of Pakistan is _____,A. Mango juice,B. Orange juice,C. Apple juice,D. Sugarcane juice,D
The_____used in the Construction of the Burj Khalifa weighs the same as five A380 aircraft?,A. Nikal,B. Aluminium,C. Silicon,D. Silver,B
“APP” news agency belongs to:______?,A. India,B. Pakistan,C. France,D. China,B
Which of the following female mosquito is the cause of Dengue fever?,A. Aedes Aegypteis,B. Anophilies,C. Barinohils,D. N.O.A,A
Hundred years from 1337 to 1453 War fought between?,A. Germany and Japan,B. America and England,C. England and France,D. South Korea and America,C
Which is second most beautiful Capital in the World?,A. Paris,B. London,C. Bankok,D. Islamabad,D
Kalidas was a famous poet of ________ language,A.  Hindi,B.  Bengali,C. Sanskrit,D.  Sindhi,C
Riskdag is the name of parliament of____?,A. Somalia,B. Swedish,C. Canada,D. Denmark,B
History of International Day for the Eradication of Poverty,A.  October 16,B.  October 17,C.  October 18,D.  October 19,B
‘Mein Kampf’ is autobiography of,A. Posternak,B. Adolf Hitler,C. Navakov,D. Goethe,B
International date line passes through which strait?,A. Malacca Strait,B. Adam Strait,C. Bering Strait,D. Java Strait,C
Who is known as Napoleon of Asia?,A. Hemu Bekal,B. Tipu Sultan,C. Nadir Shah,D. Chandra Bose,C
Which poet is called Romi of Kashmir?,A. Hashim Shah,B. Syed Bulleh Shah,C. Syed Waris Shah,D. Mian Mohammad Bakhsh,D
Which country is called “Land of protease,A. Australia,B. NewZealand,C. South Africa,D. Zimbabwe,C
Which country is called “Venice of the North,A. Stockholm,B. Britain,C. Austria,D. Netherland,A
Helsinki is the capital of which country?,A. Poland,B. North korea,C. Finland,D. Austria,C
South Pole was discovered by,A. Cabot,B. Robert Peary,C. North America,D. Roald Amundsen,D
The length of USA and Canada border is,A. 8891 KM,B. 5525 KM,C. 7611 KM,D. 4278 KM,A
The longest border in the world between two countries is,A. Radcliffe Line (between India and Pakistan),B. International boundary (between USA and Canada),C. Durand line (between Pakistan and Afghanistan),D. None,B
In 2018 Commonwealth Games athletes from how many countries participated?,A. 70,B. 71,C. 72,D. 75,B
2018 Commonwealth Games were held in which Australian city?,A. Canberra,B. Sidney,C. Gold Coast,D. None,C
Where is the Headquarter of Islamic Military Counter Terrorism Coalition (IMCTC)?,A. Riyadh,B. Jeddah,C. Mekkah,D. None of Them,A
The Islamic Military Counter Terrorism Coalition (IMCTC) is an alliance of how many Islamic countries?,A. 34,B. 42,C. 53,D. 50,B
Who was known as the “Ambassador to the World’s Religion”?,A. Mala YousafZaai,B. Dalayi Lama,C. Huston Smith,D. None of these,C
The world’s oldest Lake is,A. Lake Baikal,B. Lake Superior,C. Lake Victoria,D. Great Bear Lake,A
What is ‘Big Ben’?,A. A galaxy of stars on the sky,B. The world’s highest tower in Tokyo,C. The World’s first railway engine,D. Clock at British parliament building,D
Napoleon Bonaparte was the king of,A. France,B. Italy,C. Russia,D. Spain,A
Sheikh Saadi (RA) was a famous poet of ____ language,A. Arabic,B. Persian,C. Sanskrit,D. Both A & B,B
SAARC 1st summit was held in,A. Tehran,B. Mumbai,C. Kathmandu,D. Dhaka,D
World Happiness Index was first time published in year,A. 2009,B. 2010,C. 2012,D. 2013,C
World Press Freedom Prize was established by United Nations’ cultural body UNESCO in:,A. 1993,B. 1995,C. 1997,D. 1999,C
Ghana is the new name of,A. Diamond coast,B. Gold coast,C. Silver coast,D. Black coast,B
Habsha is the old name of,A. Ethiopia,B. Zaire,C. Uganda,D. Nigeria,A
What is a basin?,A. High area of land,B. Deep area of River,C. Lower area of land,D deep area of ocean,C
The International Anti-Corruption Day (IACD) is observed annually,A. 1st January,B. 9th December,C. 9th January,D. 1st February,B
Battery was invented by,A. Nicolas Léonard Sadi Carnot,B. Alessandro Volta,C. Michael Faraday,D. Friedrich Bessel,B
Which Country is called “Thunderbolt of Asia”?,A. Thailand,B. Bhutan,C. China,D. Taiwan,B
__________ is the branch of physical geography dealing with the formation and features of mountains:,A. Orography,B. Cartography,C. Palaeogeography,D. Oceanography,A
The name of famous clown at Food chain McDonald’s name is,A. Asa Candler,B. Col. Harland Sanders,C. Ronald McDonald,D. Ray Kroc,C
Bagram is an airbase of USA situated in,A. Afghanistan,B. Pakistan,C. Somalia,D. Kazakhstan,A
Vatican city in which the Pope lives is a city that lies in,A. Germany,B. France,C. Italy,D. Belgium,C
Hegel was a Philosopher belong to?,A. French,B. German,C. Italian,D. Swedish,B
Black Pool is a __________ in England?,A. Hotel,B. Tower,C. Resort,D. Island,C
Moseley Road Baths are located in,A. UK,B. Iran,C. Afghanistan,D. India,A
Pakistan played first test match in,A. 1951,B. 1952,C. 1953,D. 1954,B
How many High Courts of Pakistan are there?,A. 4,B. 5,C. 6,D. 7,B
Which city is called “The Modern Babylon”?,A. London,B. Amsterdam,C. Berlin,D. Paris,A
Which Country is called “Land of Fertile Fields”?,A. Algeria,B. Luanda,C. Nigeria,D. Greenland,A
Which Ocean is Called “Herring Pond”?,A. North Atlantic Ocean,B. Pacific Ocean,C. Arctic Ocean,D. Indian Ocean,A
Which conutry is called “Switzerland of Africa”?,A. Egypt,B. Somalia,C. Swaziland,D. Algeria,C
Which Country is called “Land of milk and honey”?,A. Lebanon,B. Iraq,C. Syria,D. India,A
Where is the official residence of Prime Minister of Sri Lanka?,A. Temple Trees,B. Queen’s Land,C. Blue House,D. Elysee Palace,A
Which City is called “Valley of flowers”?,A. Peshawar,B. Quetta,C. Lahore,D. Karachi,A
Which city is called “the city of conferences”?,A. Newyork,B. Geneva,C. Washington. DC,D. London,B
Which country is called “Land of Lilies”?,A. Canada,B. USA,C. Mexico,D. UK,A
Which Country is called “Great Britain of Pacific”?,A. Taiwan,B. NewZealand,C. Japan,D. Brunai,C
Which Country is called “Crossroads of Western Europe”?,A. Belgium,B. Norway,C. England,D. Switzerland,A
_____is the key to the Mediterranean Sea?,A. Spain,B. Egypt,C. Bab-ul-Maneb,D. Gibraltar,D
Who designed Statue of Christ – The Redeemer?,A. Anna Levinson,B. Apostolos Vellios,C. Heitor de Silva Costa,D. Olena Shurkhno,C
Who built Machu Picchu?,A. Atahualpa,B. Huayna Capac,C. Pachacutec,D. Viracocha Inca,C
Who built the Pharos of Alexandria?,A. Dinocrates,B. Eudoxus of Cnidus,C. Mausolus,D. Sostratus of Cnidus,D
The height of Burj Khalifa is,A. 828 metres,B. 820 metres,C. 815 metres,D. None of the above,A
Which is called the first wonder of the world?,A. The Pyramids of Egypt,B. The Hanging Gardens of Babylon,C. The Tomb of Mausolus,D. The Colossus of Rhodes,A
